p_X,p_Y,ratio,N,lam,mu,sigma2,nu,a
0.1,0.1,1.0,500,5.0,1.0111800216358613,2.0065316662079793,1.0191566406602817,0.9921733139870897
0.1,0.1,1.0,750,7.5,1.032739197010676,2.1367575583578935,0.9982885001346657,1.0345097603261613
0.1,0.1,1.0,1000,10.0,0.9894044531071304,2.036238227049398,0.9614996505067301,1.0290221661398358
0.2,0.1,2.0,10,0.2,0.6755918724561789,1.415857543392744,0.6447320639831328,1.0478645474561872
0.2,0.1,2.0,20,0.4,0.9884513880143457,1.607840323645185,1.2153397723629888,0.8133127957233695
0.2,0.1,2.0,30,0.6000000000000001,1.1248971298482973,1.653563044327838,1.5305053618385756,0.7349841156367943
0.2,0.1,2.0,50,1.0,1.211199031550384,1.7975381229645762,1.6322358622460194,0.7420490258581425
0.2,0.1,2.0,75,1.5,1.1607449734620492,2.0500808548461795,1.3144153707230295,0.8830884051694786
0.2,0.1,2.0,100,2.0,1.2417526330529605,2.6879142866075445,1.147320514926149,1.0823066587743266
0.2,0.1,2.0,150,3.0,1.0670971075699944,2.1769328250685294,1.0461473352522048,1.020025642289419
0.2,0.1,2.0,200,4.0,1.0578842606953502,2.2919204223282845,0.9765776316876416,1.0832566980540002
0.2,0.1,2.0,300,6.0,1.0040516835263287,2.1241027742725085,0.9492194025661772,1.0577656554553296
0.2,0.1,2.0,500,10.0,1.0074373442613207,1.813081479727861,1.1195635871418654,0.8998482585819069
0.2,0.1,2.0,750,15.0,1.0077891074810976,1.9841366362693031,1.0237590159790755,0.9844007151598025
0.2,0.1,2.0,1000,20.0,0.9834341684685826,1.8508904071720556,1.0450567575085914,0.9410342179051435
0.2,0.2,1.0,10,0.4,0.9293572152605184,1.5394848415151738,1.1220699421849714,0.8282524825955238
0.2,0.2,1.0,20,0.8,1.1985058421951271,2.1307216829503908,1.3482908305385606,0.8889075079717011
0.2,0.2,1.0,30,1.2000000000000002,1.1969368652830725,1.9477338571010925,1.471102280478877,0.8136326625049093
0.2,0.2,1.0,50,2.0,1.141120445404932,2.4315716271870165,1.0710405207578113,1.0654316277385434
0.2,0.2,1.0,75,3.0,1.1386595720252692,2.4689290048374923,1.0502899179558298,1.0841383436693675
0.2,0.2,1.0,100,4.0,1.074768077630894,2.3463114531729383,0.984631788019719,1.0915431440543437
