scenario_id,regime,regime_label,variant,rows,columns,n_p,n_q,target_mi,minimum_joint_expected_pair,sample_size_ratio_q_to_p,simulation_seed,replicates,method,method_label,valid_replicates,valid_rate,fpr_10,absolute_fpr_error_10,fpr_05,absolute_fpr_error_05,fpr_01,absolute_fpr_error_01
fixed_2x5_d2,moderate,Moderate,variant_1,2,5,100,100,0.1,1.7019950912172586,1.0,2674302760,10000,jackknife_simple,Jackknife correction + Simple Welch,10000,1.0,0.1229,0.02289999999999999,0.0662,0.016199999999999992,0.0158,0.005800000000000001
fixed_2x5_d2,moderate,Moderate,variant_1,2,5,100,100,0.1,1.7019950912172586,1.0,2674302760,10000,jackknife_expanded,Jackknife correction + Expanded Welch,10000,1.0,0.1163,0.016299999999999995,0.0607,0.010699999999999994,0.0126,0.0026
fixed_2x5_d3,moderate,Moderate,variant_2,2,5,100,200,0.15,0.5275530243664044,2.0,3380239290,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.1257,0.0257,0.0742,0.0242,0.0217,0.0117
fixed_2x5_d3,moderate,Moderate,variant_2,2,5,100,200,0.15,0.5275530243664044,2.0,3380239290,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.124,0.023999999999999994,0.0725,0.022499999999999992,0.0202,0.010199999999999999
fixed_2x5_d3,moderate,Moderate,variant_2,2,5,100,200,0.15,0.5275530243664044,2.0,3380239290,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.121,0.02099999999999999,0.0681,0.01809999999999999,0.0168,0.006799999999999999
fixed_2x5_d3,moderate,Moderate,variant_2,2,5,100,200,0.15,0.5275530243664044,2.0,3380239290,10000,jackknife_normal,Jackknife correction + Normal Wald,10000,1.0,0.1348,0.0348,0.0801,0.030100000000000002,0.025,0.015000000000000001
fixed_2x5_d3,moderate,Moderate,variant_2,2,5,100,200,0.15,0.5275530243664044,2.0,3380239290,10000,jackknife_simple,Jackknife correction + Simple Welch,10000,1.0,0.1326,0.03259999999999999,0.0778,0.02779999999999999,0.0237,0.013699999999999999
fixed_2x5_d3,moderate,Moderate,variant_2,2,5,100,200,0.15,0.5275530243664044,2.0,3380239290,10000,jackknife_expanded,Jackknife correction + Expanded Welch,10000,1.0,0.1286,0.028599999999999987,0.0735,0.023499999999999993,0.0197,0.009699999999999999
stress_2x5_d4,highly_sparse,Highly skewed and sparse,variant_1,2,5,190,190,0.1,1.5754317995929568,1.0,65349617,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.112,0.011999999999999997,0.0565,0.006499999999999999,0.0138,0.0037999999999999996
stress_2x5_d4,highly_sparse,Highly skewed and sparse,variant_1,2,5,190,190,0.1,1.5754317995929568,1.0,65349617,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.1116,0.0116,0.0561,0.006099999999999994,0.0134,0.0034000000000000002
stress_2x5_d4,highly_sparse,Highly skewed and sparse,variant_1,2,5,190,190,0.1,1.5754317995929568,1.0,65349617,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.1077,0.0076999999999999985,0.0527,0.002699999999999994,0.0115,0.0014999999999999996
stress_2x5_d4,highly_sparse,Highly skewed and sparse,variant_1,2,5,190,190,0.1,1.5754317995929568,1.0,65349617,10000,jackknife_normal,Jackknife correction + Normal Wald,10000,1.0,0.1135,0.013499999999999998,0.0583,0.008299999999999995,0.0148,0.0048000000000000004
stress_2x5_d4,highly_sparse,Highly skewed and sparse,variant_1,2,5,190,190,0.1,1.5754317995929568,1.0,65349617,10000,jackknife_simple,Jackknife correction + Simple Welch,10000,1.0,0.1123,0.012299999999999991,0.0568,0.0068000000000000005,0.0139,0.003899999999999999
stress_2x5_d4,highly_sparse,Highly skewed and sparse,variant_1,2,5,190,190,0.1,1.5754317995929568,1.0,65349617,10000,jackknife_expanded,Jackknife correction + Expanded Welch,10000,1.0,0.108,0.007999999999999993,0.053,0.0029999999999999957,0.012,0.002
stress_2x5_d5,highly_sparse,Highly skewed and sparse,variant_2,2,5,158,316,0.15,1.6323753987114964,2.0,796464720,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.1117,0.011699999999999988,0.0591,0.009099999999999997,0.0143,0.0043
stress_2x5_d5,highly_sparse,Highly skewed and sparse,variant_2,2,5,158,316,0.15,1.6323753987114964,2.0,796464720,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.1105,0.010499999999999995,0.0585,0.0085,0.0135,0.0034999999999999996
stress_2x5_d5,highly_sparse,Highly skewed and sparse,variant_2,2,5,158,316,0.15,1.6323753987114964,2.0,796464720,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.1083,0.008299999999999988,0.0563,0.0063,0.0126,0.0026
