k,shape,n,nu0,A_nu,A_a,r2_nu,r2_a,H,H_norm,perp,perp_n,simpson,simpson_n,k_min_p,log_k_min_p
8,uniform,12,49,0.6401829279973517,-0.004857418121786548,0.8973430009289769,0.763866480331032,3.0,1.0,8.0,1.0,8.0,1.0,1.0,0.0
9,uniform,11,64,0.7014488822031552,-0.003939256589734854,0.8581153917655975,0.6929297940142527,3.169925001442312,1.0,8.999999999999998,0.9999999999999998,9.0,1.0,1.0,0.0
10,uniform,11,81,0.7428387222887274,-0.003270758989204012,0.9004130363720807,0.7873393992357278,3.321928094887362,1.0,9.999999999999998,0.9999999999999998,9.999999999999996,0.9999999999999997,1.0,0.0
11,uniform,11,100,0.7705797862106761,-0.0027546001631293484,0.8642980770510433,0.7299436078659461,3.4594316186372978,1.0000000000000002,11.000000000000004,1.0000000000000002,11.0,1.0,1.0,0.0
12,uniform,12,121,0.7995247555798842,-0.002298915441386373,0.8997640950142884,0.7914408546409926,3.584962500721156,1.0,12.0,1.0,11.999999999999998,0.9999999999999999,1.0,0.0
13,uniform,10,144,0.8135672455001675,-0.0019827781976257245,0.8443212490661908,0.7051747963564414,3.7004397181410926,1.0000000000000002,13.000000000000004,1.0000000000000002,12.999999999999996,0.9999999999999998,1.0,0.0
14,uniform,11,169,0.8254244652188504,-0.0017051472239051082,0.8419350303828632,0.7241639804281859,3.8073549220576055,1.0000000000000004,14.000000000000014,1.000000000000001,14.0,1.0,1.0,0.0
15,uniform,11,196,0.8116083745271158,-0.001486744990372656,0.8593560313192388,0.7370835817175863,3.906890595608518,0.9999999999999998,14.999999999999993,0.9999999999999996,15.0,1.0,1.0,0.0
3,zipf,11,4,0.22670780284653289,-0.009310610675536445,0.8157240271826088,0.14632961231421981,1.4353713907745331,0.9056185178648963,2.7045177963242053,0.9015059321080684,2.4693877551020402,0.8231292517006801,0.5454545454545454,-0.6061358035703156
4,zipf,12,9,0.29629783709742363,-0.008824091595954866,0.7686597300625587,0.24152200512113553,1.7924876891689536,0.8962438445844768,3.464117075602811,0.8660292689007028,3.0487804878048768,0.7621951219512192,0.4800000000000001,-0.7339691750802002
5,zipf,10,16,0.26765605029906336,-0.0027663589608600252,0.7170667397198515,0.0684684683697605,2.06385964175399,0.8888559668571945,4.181033612777913,0.8362067225555826,3.562156006832416,0.7124312013664832,0.43795620437956206,-0.8256363636060242
6,zipf,11,25,0.28192090164112116,-0.0020001270452303043,0.7284558434166928,0.09799616393388044,2.2819791108624243,0.8827900250877121,4.863446713177247,0.8105744521962078,4.0247718383311595,0.6707953063885266,0.40816326530612246,-0.8960880245566356
7,zipf,12,36,0.3022802656027056,-0.0022085806040364293,0.7242921666627975,0.1941545640904535,2.463914052956604,0.8776638940795982,5.517115001180095,0.7881592858828707,4.446964725645994,0.6352806750922849,0.3856749311294766,-0.9527604116555465
