condition,condition_label,method,method_label,nominal_alpha,actual_rejection_rate
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.01,0.09535999999999999
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.011,0.09807000000000002
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.012,0.10060999999999995
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.013000000000000001,0.10306500000000003
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.014,0.10550500000000003
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.015,0.10790999999999999
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.016,0.11037499999999997
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.017,0.11257000000000002
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.018000000000000002,0.11466999999999997
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.019,0.11683500000000002
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.02,0.118895
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.021,0.12097500000000001
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.022,0.12295000000000003
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.023,0.12485000000000002
